year,country,built_reactors,shutdown_reactors,operating_reactors
2011,JPN,60,9,51
2012,JPN,60,9,51
2013,JPN,60,11,49
2014,JPN,60,11,49
2015,JPN,60,16,44
2016,JPN,60,17,43
2017,JPN,60,18,42
2018,JPN,60,22,38
2019,JPN,60,27,33
2020,JPN,60,27,33
1977,KOR,1,0,1
1978,KOR,1,0,1
1979,KOR,1,0,1
1980,KOR,1,0,1
1981,KOR,1,0,1
1982,KOR,2,0,2
1983,KOR,3,0,3
1984,KOR,3,0,3
1985,KOR,5,0,5
1986,KOR,7,0,7
1987,KOR,7,0,7
1988,KOR,8,0,8
1989,KOR,9,0,9
1990,KOR,9,0,9
1991,KOR,9,0,9
1992,KOR,9,0,9
1993,KOR,9,0,9
1994,KOR,10,0,10
1995,KOR,11,0,11
1996,KOR,11,0,11
1997,KOR,12,0,12
1998,KOR,15,0,15
1999,KOR,16,0,16
2000,KOR,16,0,16
2001,KOR,17,0,17
2002,KOR,18,0,18
2003,KOR,19,0,19
2004,KOR,19,0,19
2005,KOR,20,0,20
2006,KOR,20,0,20
2007,KOR,20,0,20
2008,KOR,20,0,20
2009,KOR,20,0,20
2010,KOR,21,0,21
2011,KOR,21,0,21
2012,KOR,23,0,23
2013,KOR,23,0,23
2014,KOR,23,0,23
2015,KOR,24,0,24
2016,KOR,25,0,25
2017,KOR,25,1,24
2018,KOR,25,1,24
2019,KOR,26,2,24
2020,KOR,26,2,24
1973,KAZ,1,0,1
1974,KAZ,1,0,1
1975,KAZ,1,0,1
1976,KAZ,1,0,1
1977,KAZ,1,0,1
1978,KAZ,1,0,1
1979,KAZ,1,0,1
1980,KAZ,1,0,1
1981,KAZ,1,0,1
1982,KAZ,1,0,1
1983,KAZ,1,0,1
1984,KAZ,1,0,1
1985,KAZ,1,0,1
1986,KAZ,1,0,1
1987,KAZ,1,0,1
1988,KAZ,1,0,1
1989,KAZ,1,0,1
1990,KAZ,1,0,1
1991,KAZ,1,0,1
1992,KAZ,1,0,1
1993,KAZ,1,0,1
1994,KAZ,1,0,1
1995,KAZ,1,0,1
1996,KAZ,1,0,1
1997,KAZ,1,0,1
1998,KAZ,1,0,1
1999,KAZ,1,1,0
2000,KAZ,1,1,0
2001,KAZ,1,1,0
2002,KAZ,1,1,0
2003,KAZ,1,1,0
2004,KAZ,1,1,0
2005,KAZ,1,1,0
2006,KAZ,1,1,0
2007,KAZ,1,1,0
2008,KAZ,1,1,0
2009,KAZ,1,1,0
2010,KAZ,1,1,0
2011,KAZ,1,1,0
2012,KAZ,1,1,0
2013,KAZ,1,1,0
2014,KAZ,1,1,0
2015,KAZ,1,1,0
2016,KAZ,1,1,0
2017,KAZ,1,1,0
2018,KAZ,1,1,0
2019,KAZ,1,1,0
2020,KAZ,1,1,0
1983,LTU,1,0,1
1984,LTU,1,0,1
1985,LTU,1,0,1
1986,LTU,1,0,1
1987,LTU,2,0,2
1988,LTU,2,0,2
1989,LTU,2,0,2
1990,LTU,2,0,2
1991,LTU,2,0,2
1992,LTU,2,0,2
1993,LTU,2,0,2
1994,LTU,2,0,2
1995,LTU,2,0,2
1996,LTU,2,0,2
1997,LTU,2,0,2
