year,country,cons_btu,coal_cons_btu,gas_cons_btu,oil_cons_btu,nuclear_cons_btu,renewables_cons_btu,prod_btu,coal_prod_btu,gas_prod_btu,oil_prod_btu,nuclear_prod_btu,renewables_prod_btu,co2,co2_growth_prct,co2_growth_abs,consumption_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,population,GDP,GDP growth,GDP per capita,GDP per capita growth,income per capita,income per capita growth,built_reactors,shutdown_reactors,operating_reactors,nuclear_warheads,accident_cost_MioUSD2013,accident_deaths,research_%GDP,representative_government,fundamental_rights,checks_on_gouvernment,impartial_administration,civil_society_participation
1994,AFG,0.030081108758152543,0.00012500414820254722,0.01108773,0.01361406660995,0.0,0.005254308,0.016024055940963032,0.000118753940963027,0.01108773,0.0,0.0,0.004817572,1.2819999999999998,-3.852,-0.051,,0.075,,0.006,65.63,0.01,0.09,,,17076000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1979130228572025,0.1890712626275476,0.196842619954575,0.2960139107734954
1995,AFG,0.025348473264952636,0.000104170155002628,0.00739182,0.01319449910995,0.0,0.004657984,0.011739325647394673,9.896164739466924e-05,0.00739182,0.0,0.0,0.004248544,1.2309999999999999,-4.002,-0.051,,0.068,,0.005,66.861,0.01,0.057999999999999996,,,18111000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1994906864734868,0.1816494301688459,0.1996791816279784,0.2656630787923102
1996,AFG,0.02486021943357976,6.25019795997577e-05,0.00850420515,0.01218545230398,0.0,0.00410806,0.012296322030705074,5.937688070507326e-05,0.00850420515,0.0,0.0,0.00373274,1.165,-5.361000000000001,-0.066,,0.062,,0.005,68.02600000000001,0.009000000000000001,0.057,,,18853000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1403963542609736,0.1479342949638781,0.2298742519843407,0.1443721928314368
1997,AFG,0.023673388257849842,4.166798639983847e-05,0.00850420515,0.01149772912145,0.0,0.003629786,0.011832375737136715,3.958458713671551e-05,0.00850420515,0.0,0.0,0.003288586,1.084,-6.926,-0.081,,0.055999999999999994,,0.005,69.11,0.009000000000000001,0.055999999999999994,,,19357000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1290217874549607,0.1654841159176428,0.271177496725857,0.1443721928314368
1998,AFG,0.023039555257849842,4.166798639983847e-05,0.00850420515,0.01109338212145,0.0,0.0034003,0.011602889737136716,3.958458713671551e-05,0.00850420515,0.0,0.0,0.0030591,1.0290000000000001,-5.073,-0.055,,0.052000000000000005,,0.004,70.14,0.009000000000000001,0.055999999999999994,,,19738000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1260946773355044,0.1656760495077871,0.2726281900194317,0.1443721928314368
1999,AFG,0.02302743728319992,2.0833993199919235e-05,0.00850420515,0.01109339814,0.0,0.003409,0.011591797443568358,1.9792293568357753e-05,0.00850420515,0.0,0.0,0.0030678,0.81,-21.357,-0.22,,0.04,,0.003,70.949,0.009000000000000001,0.046,,,20171000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.12815559882225,0.1628240755795535,0.2717005689950767,0.1443721928314368
2000,AFG,0.020178061853199918,2.0833993199919235e-05,0.00850420515,0.008129110709999998,0.0,0.003523912,0.011706709443568358,1.9792293568357753e-05,0.00850420515,0.0,0.0,0.0031827120000000003,0.768,-5.111000000000001,-0.040999999999999995,,0.037000000000000005,,0.003,71.718,0.009000000000000001,0.047,,,20780000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1251746326000161,0.1644851891454374,0.2720066466585931,0.1443721928314368
2001,AFG,0.01591449045921003,0.0005416845792100273,0.00184874025,0.008037031630000002,0.0,0.005487034,0.007509174600988823,0.0005146003509888235,0.00184874025,0.0,0.0,0.005145834,0.812,5.712000000000001,0.044000000000000004,,0.038,,0.003,72.53,0.009000000000000001,0.052000000000000005,,,21607000.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.2019057355635028,0.2037174811996348,0.2772823104930842,0.23491209740373198
2002,AFG,0.015109508584207388,0.00043751442420739936,0.00184874025,0.006836038909999987,0.0,0.005987215,0.007910393953594155,0.0004156387035941543,0.00184874025,0.0,0.0,0.005646015,1.064,31.031999999999996,0.252,,0.047,,0.004,73.594,0.009000000000000001,0.040999999999999995,,,22601000.0,4055179566.34981,,179.426610967229,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3558020702567962,0.3212517396452567,0.3099370407357465,0.5226560682775753
2003,AFG,0.01776927950701234,0.0007291907070123325,0.0007394961,0.009580642700000008,0.0,0.00671995,0.007810977272656923,0.0006927311726569237,0.0007394961,0.0,0.0,0.00637875,1.205,13.280999999999999,0.141,,0.051,,0.004,74.79899999999999,0.008,0.043,,,23681000.0,4515558808.10994,8.83227780370231,190.683814295088,3.8683619034781898,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3714049795442238,0.3263653037427998,0.3028519604807585,0.5316516065397147
2004,AFG,0.016413668953812403,0.0007083567138124131,0.0007394961,0.00896557613999999,0.0,0.00600024,0.007071474979088566,0.000672938879088566,0.0007394961,0.0,0.0,0.00565904,0.9079999999999999,-24.631999999999998,-0.297,,0.037000000000000005,,0.003,75.708,0.008,0.032,,,24727000.0,5226778808.89209,1.4141179802191601,211.382116942655,-2.87518352770836,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.3329325761967785,0.3724905192607168,,0.3026403934826374,0.5316516065397147
